item_id,title,brand,rating,n_rating,price,shipping,img_url,max_rslt,dp,hdmi,dirx,model
14-500-508,"ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, FREEZE Fan Stop ZT-A30600H-10M",MSI,4.4,32,459.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-500-508-V02.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,ZT-A30600H-10M
14-137-732,MSI Gaming Radeon RX 6800 16GB GDDR6 PCI Express 4.0 Video Card RX 6800 Gaming Z Trio 16G,GIGABYTE,5,3,599.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-732-19.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX
14-932-588,GIGABYTE Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 Video Card GV-R79XT-20GC-B,ASRock,,,899.99,$9.99 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-588-02.jpg,7680 x 4320,2 x DisplayPort 2.1H,1 x HDMI 2.1,,GV-R79XT-20GC-B
14-930-063,ASRock Challenger D Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT CLD 8GO,GIGABYTE,4.6,73,289.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-063-V09.jpg,7680 x 4320,,1 x HDMI 2.1,,RX6600XT
14-932-432,GIGABYTE Vision OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060VISION OC-12GD (rev. 2.0) (LHR),MSI,4.7,59,409.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-432-01.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N3060VISION
14-137-735,MSI Mech Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX 6750 XT MECH 2X 12G OC,GIGABYTE,4.2,35,434.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-735-01.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX
14-932-560,GIGABYTE AERO OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card GV-N4080AERO OC-16GD,EVGA,3.7,3,1299.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-560-09.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,GV-N4080AERO
14-487-486,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",ASRock,4.5,236,279.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-487-486-V01.jpg,7680 x 4320,1 x DisplayPort 1.4D,1 x HDMI 2.0,,06G-P4-2068-KR
14-930-071,ASRock Challenger Pro Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT CLP 12GO,GIGABYTE,4.4,19,409.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-071-V08.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX6750XT
14-932-433,GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),MSI,4.7,133,399.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-433-01.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N3060GAM
